Total Yearly Drive Time (hrs):,886.08,,,,,,,
Total Yearly Commute Distance (miles):,56868.24,,,,,,,
Total Yearly Cost ($):,7156.24,,,,,,,
,,,,,,,,
Total Weekly Drive Time (hrs):,17.04,,,,,,,
Total Weekly Commute Distance (miles):,1093.62,,,,,,,
Total Weekly Fuel Cost ($):,137.62,,,,,,,
,,,,,,,,
Gas Price ($ / Gal):,3.02,,,,,,,
Fuel Efficiency (mpg):,24,,,,,,,
,,,,,,,,
Base Location:,"Detroit, MI",,,,,,,
,,,,,,,,
,,,,,,,,
Location List,Weekly Frequency,Total 1-way Commute Time (hrs),Total 1-way Commute Time (minutes),Weekly Round Trip Commute Time (hrs),Commute Distance (Miles),Weekly Round Trip Commute Distance (Miles),Weekly Round Trip Fuel Cost ($),Notes Tag (Optional)
"Lansing, MI",5,1.38,83.08,13.8,91.05,910.5,114.57,
"Ann Arbor, MI",1,0.74,44.12,1.48,43.18,86.36,10.87,
"Troy, MI",2,0.44,26.6,1.76,24.19,96.76,12.18,
